博罗,2019/7/5,?阵雨,无持续风向 1-2级,32℃,阵雨,无持续风向 1-2级,?25℃
博罗,2019/7/4,?阵雨,无持续风向 1-2级,32℃,阵雨,无持续风向 1-2级,?25℃
博罗,2019/7/3,?中雨,无持续风向 1-2级,28℃,中雨,无持续风向 1-2级,?25℃
博罗,2019/7/2,?阵雨,无持续风向 1-2级,33℃,阵雨,无持续风向 1-2级,?25℃
博罗,2019/7/1,?雷阵雨,无持续风向 1-2级,33℃,雷阵雨,无持续风向 1-2级,?27℃
博罗,2019/6/30,?阵雨,无持续风向 1-2级,34℃,阵雨,无持续风向 1-2级,?26℃
博罗,2019/6/29,?阵雨,无持续风向 1-2级,34℃,多云,无持续风向 1-2级,?26℃
博罗,2019/6/28,?多云,无持续风向 1-2级,35℃,多云,无持续风向 1-2级,?26℃
博罗,2019/6/27,?阵雨,无持续风向 1-2级,33℃,多云,无持续风向 1-2级,?26℃
博罗,2019/6/26,?阵雨,无持续风向 1-2级,31℃,阵雨,无持续风向 1-2级,?26℃
博罗,2019/6/25,?大雨,无持续风向 1-2级,30℃,阵雨,无持续风向 1-2级,?24℃
博罗,2019/6/24,?暴雨,无持续风向 1-2级,30℃,大雨,无持续风向 1-2级,?24℃
博罗,2019/6/23,?阵雨,无持续风向 1-2级,33℃,阵雨,无持续风向 1-2级,?26℃
博罗,2019/6/22,?雷阵雨,无持续风向 1-2级,34℃,雷阵雨,无持续风向 1-2级,?27℃
博罗,2019/6/21,?阵雨,无持续风向 1-2级,35℃,多云,无持续风向 1-2级,?27℃
博罗,2019/6/20,?阵雨,无持续风向 1-2级,35℃,多云,无持续风向 1-2级,?26℃
博罗,2019/6/19,?阵雨,无持续风向 1-2级,33℃,多云,无持续风向 1-2级,?25℃
博罗,2019/6/18,?阵雨,无持续风向 1-2级,32℃,阵雨,无持续风向 1-2级,?25℃
博罗,2019/6/17,?多云,无持续风向 1-2级,33℃,多云,无持续风向 1-2级,?24℃
博罗,2019/6/16,?多云,无持续风向 1-2级,33℃,阵雨,无持续风向 1-2级,?24℃
博罗,2019/6/15,?多云,无持续风向 1-2级,34℃,阵雨,无持续风向 1-2级,?24℃
博罗,2019/6/14,?晴,无持续风向 1-2级,31℃,多云,无持续风向 1-2级,?22℃
博罗,2019/6/13,?暴雨,无持续风向 1-2级,28℃,中到大雨,无持续风向 1-2级,?24℃
